Crop_fr,Crop_en,Crop_family,Latin_name,Crop_type_Pennington_2009,Crop_type_RP,Crop_function_CTIFL
Haricot,Bean,Fabaceae,Phaseolus L.,Vegetable,Vegetables,Leguminous vegetables
"Haricots (à rame, à grain, blancs, violets, nains)","Beans (French, snap, shell, etc.)",Fabaceae,Phaseolus vulgaris,Vegetable,Vegetables,Leguminous vegetables
Betterave,Beetroot,Amaranthaceae,Beta vulgaris L.,Vegetable,Vegetables,Root vegetables
Betterave botte,Beetroot (fresh),Amaranthaceae,Beta vulgaris L.,Vegetable,Vegetables,Root vegetables
Betterave conservation,Beetroot (stor.),Amaranthaceae,Beta vulgaris L.,Vegetable,Vegetables,Root vegetables
,Black gram,Fabaceae,Vigna mungo L. Hepper,,,
Radis noir,Black radish,Brassicaceae,Raphanus sativus var. niger,,Vegetables,
Cassis,Blackcurrant,Grossulariaceae,Ribes nigrum,Berries,Shrubs & Berries,Berries
Myrtilles,Blueberry,Ericaceae,Vaccinium myrtillus,Berries,Shrubs & Berries,
Bourrache,Borage,Boraginaceae,Borago officinalis L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Calebasse,Bottle gourd,Cucurbitaceae ,Lagenaria siceraria (Molina) Standl.,,Vegetables,
Feve,Broad bean,Fabaceae,Vicia faba L.,Vegetable,Vegetables,Leguminous vegetables
Chou Brocoli,Broccoli,Brassicaceae,Brassica oleracea L. var. botrytis,Vegetable,Vegetables,Leaf vegetables
Chou de bruxelles,Brussels sprout,Brassicaceae,Brassica oleracea L. var. gemmifera DC.,Vegetable,Vegetables,Leaf vegetables
Chou de Bruxelles ,Brussels sprouts,Brassicaceae,Brassica oleracea L. var. gemmifera DC.,Vegetable,Vegetables,Leaf vegetables
Chou de Bruxelles ,Brussels_sprout,Brassicaceae,Brassica oleracea L. var. gemmifera DC.,Vegetable,Vegetables,Leaf vegetables
Courge butternut,Butternut squash,Cucurbitaceae ,Cucurbita moschata,Vegetable,Vegetables,
Chou,Cabbage,Brassicaceae,Brassica oleracea L.,Vegetable,Vegetables,Leaf vegetables
Choux Autres ,Cabbage (others),Brassicaceae,Brassica oleracea,Vegetable,Vegetables,Leaf vegetables
"Choux (cabus, fleur, chinois, milan, frisé, rave)","Cabbages (cauliflower, savoy, etc.)",Brassicaceae,,,Vegetables,
Soucis,Calendula,Asteraceae,Calendula officinalis L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Carvi,Caraway,Apiaceae,Carum carvi L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Cardon,Cardoon,Asteraceae,Cynara cardunculus var. altilis,Vegetable,Vegetables,Leaf vegetables
Carotte,Carrot,Apiaceae,Daucus carota L. var. sativus Hoffm.,Vegetable,Vegetables,Root vegetables
Carotte botte,Carrot (fresh),Apiaceae,Daucus carota L. var. sativus Hoffm.,Vegetable,Vegetables,Root vegetables
Carotte conservation,Carrot (Stor.),Apiaceae,Daucus carota L. var. sativus Hoffm.,Vegetable,Vegetables,Root vegetables
Manioc,Cassava,Euphorbiaceae,Manihot esculenta Crantz,,Vegetables,
Dolique,Catjang,Fabaceae,Vigna unguiculata subsp. Cylindrica,,Vegetables,
Chou-fleur ,Cauliflower,Brassicaceae,Brassica oleracea L. var. italica,Vegetable,Vegetables,Leaf vegetables
Céleri-rave ,Celeriac (Stor.),Apiaceae,Apium graveolens L. var. rapaceum (Mill.) Gaudin,Vegetable,Vegetables,Root vegetables
Céleri branche ,Celery,Apiaceae,Apium graveolens L.,Vegetable,Vegetables,Leaf vegetables
Céleris (branche & rave),Celery (or Celeriac),Apiaceae,Apium graveolens L.,Vegetable,Vegetables,
,Ceylon spinach,Basellaceae,Basella alba L.,,,
Camomille,Chamomile,Asteraceae ,Chamaemelum nobile L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Bette et Carde ,Chard,Amaranthaceae,Beta vulgaris L. ssp. cicla L. W.D.J. Koch,Vegetable,Vegetables,Leaf vegetables
"Blettes (bettes, cardes, poirées…)","Chard (silver beet, leaf beet...)",Amaranthaceae,Beta vulgaris L. ssp. cicla L. W.D.J. Koch,Vegetable,Vegetables,Leaf vegetables
Cerise,Cherry,Rosaceae,Prunus avium,Fruit,Fruits,Stone fruits
Cerfeuil,Chervil,Apiaceae,Anthriscus cerefolium L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Pois chiche,Chickpea,Fabaceae,Cicer arietinum L.,,,
,Chicory,Asteraceae,Cichorium intybus L.,,,
